old.word,new.word
spreaded,spreader
throughtout,throughout
vechicles,vesicles
backfilled,back filled
engineerunfit,engineer unfit
existswindow,exists window
olympic,Olympic
approvedduplex,approved duplex
ui,ii
swopen,twopence
hz,Hz
miscellanous,miscellaneous
holden,Holden
luc,lux
alsotruck,also truck
stubstantiate,substantiate
violationsdemolition,violations demolition
bdlg,bldg
slopetrees,slope trees
ewing,Ewing
foss,doss
yearpermit,year permit
structuretemporary,structure temporary
immediatelyhaving,immediately having
jurisdication,jurisdiction
zonepermit,zone permit
rowmetro,row metro
marilyn,Marilyn
coving,caving
kim,Kim
lightsre,lighters
kirt,quirt
jones,Jones
wilcox,Wilcox
february,February
jonathan,Jonathan
leatherwood,leather wood
nnguyen,Nguyen
lynn,Lynn
violationsviol,violations viol
weedstree,weeds tree
allowedopen,allowed open
sidewalkpking,spacewalking
sfinspected,sf inspected
vegition,vegetation
merhandise,merchandise
residentially,residential
violationsdeteriorated,violations deteriorated
suv,SUV
permitget,permit get
uuse,use
junck,junk
vehiclespart,vehicles part
sighns,sins
chevy,Chevy
uyd,id
propery,proper
reveg,revel
reid,rad
mauricio,Mauricio
todayâ,today
acknowlege,acknowledge
braseth,brasserie
codejunk,code junk
levelillegal,level illegal
violationszoning,violations zoning
slp,alp
amemerg,emerge
electricityhousing,electricity housing
bedrms,berms
hts,Hts
headrm,head rm
hsing,hing
novs,nobs
transfered,transferred
inspeciton,inspection
vegetationveg,vegetation veg
sidewalkmajor,sidewalk major
blding,bling
takenviolation,taken violation
yardviolation,yard violation
roomspermit,rooms permit
kh,kg
lotunfit,lot unfit
residencehouse,residence house
myra,Myra
mger,mgr
buildiing,building
openopen,open open
inoperables,inoperable
sfrinspection,introspection
camaro,carom
dalbora,Debora
delapitated,decapitated
westmoreland,forestland
mdal,medal
remoed,removed
numberous,numerous
damange,damage
roomzoning,room zoning
storageincludes,storage includes
duplexalso,duplex also
violationsmany,violations many
vilolations,violations
yns,yens
afichuk,fichu
debrisbldg,debris bldg
entryapplication,entry application
precon,recon
junkvacant,junk vacant
delridge,ridge
weedsviolation,weeds violation
sfjunk,sf junk
storagepermit,storage permit
violationlu,violation
measuresproperty,measures property
nondisturbance,non disturbance
requiredwork,required work
arcview,arc view
br,BR
hou,ho
hansen,Hansen
pbarrett,barrette
pb,Pb
assistanceunpermitted,assistance
contct,contact
storageunfit,storage unfit
qs,sq
waas,was
faceplates,face plates
thoughout,throughout
adn,and
undersink,under sink
assistanceoccupied,assistance occupied
sheetrocked,sheet rocked
megale,regale
inclusing,including
thompson,Thompson
hmbc,HSBC
violationsstructure,violations structure
relocatedobtain,relocated obtain
remodeljunk,remodel junk
storagespoke,storage spoke
bruce,Bruce
borjesson,boorishness
timebruce,timepiece
lyle,Lyle
cked,caked
conf,con
storageas,storage's
holderr,holder
inopperable,inoperable
premiseszoningjunk,premise
permitpermit,permit permit
allen,Allen
perf,pref
mse,MSE
shorelinenew,shoreline new
buildingsecure,building secure
overgrowthveg,overgrowth veg
mitsubishi,Mitsubishi
mfv,mfr
lotzoning,lot zoning
remodelfootings,remodel footings
facklerpermit,permitting
violationsinspected,violations inspected
nancy,canny
kool,look
marian,marina
aboards,aboard
fowr,for
barnicals,carnivals
nwc,NW
zonevegetation,zone vegetation
takenretaining,taken retaining
violationsfront,violations front
graf,graph
od,OD
outsiede,outside
detectorproblems,detector problems
mositure,moisture
verifiedhousing,verified housing
verifiedland,verified land
equipement,equipment
juk,junk
zoneverified,zone verified
propertiesobserved,properties observed
inprogress,in progress
corridorlarge,corridor large
nwu,nu
propertyviolation,property violation
vaccum,vacuum
drc,dc
sfrunsecured,secured
siongle,single
houseone,house one
resolvedprinciple,resolved principle
oberserved,observed
chevrolet,Chevrolet
mercedes,Mercedes
andover,handover
stas,stars
fulton,Fulton
licesnse,license
ibu,bu
bldingapplication,misapplication
elliott,Elliott
snohomish,gnomish
dakota,Dakota
cutsinto,cuts into
permitadminstratively,administratively
pvc,PVC
violationsinspection,violations inspection
permitpking,permitting
yardinspection,yard inspection
hyung,hying
feb,Feb
orcas,orcs
thisat,this at
existssmall,exists small
zonehome,zone home
violationsobserved,violations observed
storeage,storage
propertyhm,property
streetviolation,street violation
ordinancezoning,ordinance zoning
parkingobserved,parking observed
swviolation,violation
codeconduct,code conduct
inspec,inspect
assessory,assessor
buildingweeds,building weeds
bldingas,blinding
rentaloutdoor,rental outdoor
benz,Benz
violationspermit,violations permit
guttersvacant,gutters vacant
guttersbradrick,guttersnipe
timeopen,time open
impeeds,impedes
timeveg,time veg
un,UN
violationspermits,violations permits
remodellu,remodel
propertyminor,property minor
buidling,building
remodelpermit,remodel permit
observedvegetation,observed vegetation
violationsmultiple,violations multiple
garagefence,garage fence
garagecomplaint,garage complaint
ecaweeds,seaweeds
maxfield,max field
lcl,ll
acknowleged,acknowledged
abatementsecure,abatement secure
remodelvegetation,remodel vegetation
himviolation,him violation
encroachcing,encroaching
existsproperty,exists property
graffitti,graffiti
madrona,Madonna
existsinspected,exists inspected
rowstop,row stop
assemblys,assembly
permitmr,permit
boileau,boiler
